[profile_attr] old_data=40 delta_type=1 attr=mp delta_data=2 userid=1346 source=dump_data time=2013-04-03_16:52:31.608168
[profile_attr] old_data=0 delta_type=1 attr=mount_status delta_data=1 userid=889 source=dump_data time=2013-04-03_16:56:08.806998
[profile_attr] old_data=8716709 delta_type=1 attr=gold delta_data=5000 userid=889 source=dump_data time=2013-04-03_16:56:53.084449
[profile_attr] old_data=0 delta_type=1 attr=attr_1 delta_data=4200 userid=1347 source=dump_data time=2013-04-03_16:56:55.751574
[profile_attr] old_data=10000 delta_type=1 attr=gold delta_data=2100 userid=1347 source=dump_data time=2013-04-03_16:56:55.752734
[profile_attr] old_data=40.579180003 delta_type=1 attr=mp delta_data=-0.579180003048 userid=1347 source=dump_data time=2013-04-03_16:56:55.754754
[profile_attr] old_data=200 delta_type=0 attr=attr_10 delta_data=10 userid=1347 source=enter time=2013-04-03_16:56:59.265756
[profile_attr] old_data=0 delta_type=1 attr=attr_2 delta_data=4 userid=1347 source=dump_data time=2013-04-03_16:57:29.201560
[profile_attr] old_data=4200 delta_type=1 attr=attr_1 delta_data=200 userid=1347 source=dump_data time=2013-04-03_16:57:29.202400
[profile_attr] old_data=12100 delta_type=1 attr=gold delta_data=42 userid=1347 source=dump_data time=2013-04-03_16:57:29.203208
[profile_attr] old_data=1 delta_type=1 attr=level delta_data=1 userid=1347 source=dump_data time=2013-04-03_16:57:29.218545
[profile_attr] old_data=200 delta_type=1 attr=hp delta_data=298 userid=1347 source=dump_data time=2013-04-03_16:57:29.218872
[profile_attr] old_data=40 delta_type=1 attr=mp delta_data=2 userid=1347 source=dump_data time=2013-04-03_16:57:29.219853
[profile_attr] old_data=4400 delta_type=1 attr=attr_1 delta_data=6600 userid=1347 source=dump_data time=2013-04-03_16:57:43.364790
[profile_attr] old_data=12142 delta_type=1 attr=gold delta_data=2400 userid=1347 source=dump_data time=2013-04-03_16:57:43.365618
[profile_attr] old_data=498 delta_type=1 attr=hp delta_data=2 userid=1347 source=dump_data time=2013-04-03_16:57:43.366198
[profile_attr] old_data=14542 delta_type=0 attr=gold delta_data=10 userid=1347 source=enhance time=2013-04-03_16:57:59.999188
[profile_attr] old_data=14532 delta_type=0 attr=gold delta_data=10 userid=1347 source=enhance time=2013-04-03_16:58:05.584629
